author,affiliation,city,country,count
Curtis E. Dyreson,"Washington State University, Pullman",Pullman,United States,1
Cyrus Shahabi,"University of Southern California, Los Angeles, California",Los Angeles,United States,2
Cyrus Shahabi,"University of Southern California, Los Angeles, USA",Los Angeles,United States,5
Cyrus Shahabi,"University of Southern, California, Los Angeles, CA",Los Angeles,United States,3
César A. Galindo-Legaria,"Microsoft Corp., One Microsoft Way, Redmond, WA",Redmond,United States,2
César A. Galindo-Legaria,"Microsoft Corp., Redmond, WA, USA",Redmond,United States,4
César A. Galindo-Legaria,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,7
D. Sivakumar,"Google Inc., Mountain View, CA, USA",Mountain View,United States,5
D. Sivakumar,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,3
Daehyun Kim,"Intel Corporation, Santa Clara, CA, USA",Santa Clara,United States,7
Daisy Zhe Wang,"BWRC, University of California, Berkeley, CA 94720, USA",Berkeley,United States,5
Damien Sereni,"Semmle Ltd., Oxford, United Kingdom",Oxford,United Kingdom,3
Dan Grossman,"University of Washington, Seattle, WA, USA",Seattle,United States,3
Dan Olteanu,"Department of Statistics, University of Oxford, OX1 3TG, UK",Oxford,United Kingdom,4
Dan Olteanu,"Oxford University, Oxford, United Kingdom",Oxford,United Kingdom,2
Dan Olteanu,"Saarland University, Saarbrücken, Germany",Saarbrücken,Germany,3
Dan Olteanu,"University of Oxford, Oxford, United Kingdom",Oxford,United Kingdom,4
Dan Suciu,"Department of Electrical Engineering, University of Washington, Seattle, WA",Seattle,United States,6
Dan Suciu,University of Washington,Seattle,United States,9
Dan Suciu,"University of Washington, Seattle, WA, USA",Seattle,United States,20
Daniel A. Keim,"Department of Computer and Information Science, University of Konstanz, Box M712, 78457 Konstanz, Germany",Konstanz,Germany,3
David Toman,"University of Waterloo, Waterloo, Canada",Waterloo,Canada,4
Mary Roth,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,5
Daniel Abugov,"Center for Human-Computer Interaction and College of Information Sciences and Technology, The Pennsylvania State University, University Park, PA 16802, USA",State College,United States,3
Daniel C. Zilio,"IBM Toronto Lab, Markham, ON, Canada",Markham,Canada,7
Daniel C. Zilio,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,7
Daniel Engovatov,"Stanford University, Stanford, CA, USA",Stanford,United States,8
Daniel Farina,"Truviso, Inc., Foster City, CA, USA",Foster City,United States,7
Daniel Gyllstrom,"University of Massachusetts Amherst, Amherst, MA, USA",Amherst,United States,4
Daniel J. Abadi,Brandeis University,Waltham,United States,18
Daniel J. Abadi,"Hadapt Inc. & Yale University, New Haven, CT, USA",New Haven,United States,4
Daniel J. Abadi,MIT,Cambridge,United States,3
Daniel J. Abadi,"Yale University, New Haven, CT, USA",New Haven,United States,22
Daniel Kifer,Cornell University,Ithaca,United States,2
Daniel Kifer,"Penn State University, University Park, PA, USA",University Park,United States,2
Daniel Kifer,"The Pennsylvania State University, University Park, PA, USA",University Park,United States,1
Daniel L. Wang,"Department of Electrical Engineering, University of Washington, Seattle, WA",Seattle,United States,3
Daniel Pepper,"University of California, Santa Cruz, Santa Cruz, CA, USA",Santa Cruz,United States,5
Daniel S. Weld,"Department of Computer Science and Engineering, University of Washington, Seattle, WA",Seattle,United States,4
Daniel S. Weld,"Nimble Technology, Inc., 1938 Fairview Avenue East, Seattle, WA",Seattle,United States,3
Daniel S. Weld,University of Washington,Seattle,United States,3
Daniel Schall 0002,"Fraunhofer Institute for Experimental Software Engineering, Kaiserslautern, Germany",Kaiserslautern,Germany,2
Daniel Scott Brotherston,"University of Waterloo, Waterloo, ON, Canada",Waterloo,Canada,3
Daniel Shawcross Wilkerson,"BWRC, University of California, Berkeley, CA 94720, USA",Berkeley,United States,3
Daniel Tunkelang,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,1
Daniela Florescu,"Arizona State University at Polytechnic Campus, I3DEA, 878609, 7001 E. Williams Field Rd. Bldg. 140, 85212, Mesa, AZ, USA",Mesa,United States,10
Daniela Florescu,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,4
Daniela Florescu,Oracle Corporation,Mesa,United States,11
Daniela Florescu,"Oracle, Redwood Shores, CA, USA",Redwood City,United States,5
Daniele Braga,"Piazza Leonardo da Vinci, Milano, Italy",Milan,Italy,4
Daniele Braga,"Politecnico di Milano, Milano, Italy",Milan,Italy,12
Danilo Montesi,"University of Bologna, Bologna, Italy",Bologna,Italy,2
Daphne Koller,"Computer Science Dept., Stanford University, Stanford, CA",Stanford,United States,3
Datong Chen,"Yahoo! Labs, Santa Clara, CA, USA",Santa Clara,United States,5
David A. Maluf,"NASA Ames Research Center, Moffett Field, CA",Mountain View,United States,3
David A. Patterson,"University of California at Berkeley, Berkeley, CA, USA",Berkeley,United States,8
David Aumueller,"University of Leipzig, Leipzig, Germany",Leipzig,Germany,4
David B. Lomet,"Microsoft Research, Redmond, WA",Redmond,United States,14
David Buttler,"School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA",Atlanta,United States,4
David Campbell,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,3
David Clutter,University of Illinois at Urbana-Champaign,Champaign,United States,6
David DeHaan,"Department of Statistics and Actuarial Science, University of Waterloo, Waterloo, Ont., Canada N2L 3G1",Waterloo,Canada,2
David DeHaan,University of Waterloo,Waterloo,Canada,3
David DeHaan,"University of Waterloo, Waterloo, Canada",Waterloo,Canada,4
David E. Gay,Intel Research Berkeley,Berkeley,United States,9
David E. Irwin,"Duke University, Durham, NC",Durham,United States,8
David E. Simmen,"IBM Almaden Research Center, San Jose, CA, USA",San Jose,United States,9
David E. Simmen,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,5
David Fuhry,"Kent State University, Kent, OH, USA",Kent,United States,4
David G. Bell,"NASA Ames Research Center, Moffett Field, CA",Mountain View,United States,3
David G. Campbell,"Microsoft Corp., Redmond, WA, USA",Redmond,United States,3
David Hoa,"IBM, San Jose, CA, USA",San Jose,United States,6
David J. DeWitt,"Department of Computer Sciences, University of Wisconsin, Madison",Madison,United States,5
David J. DeWitt,"Microsoft Inc., Madison, WI, USA",Madison,United States,7
David J. DeWitt,"Microsoft Jim Gray Systems Lab, Madison, WI, USA",Madison,United States,6
David J. DeWitt,"Univ. of Wisconsin, Madison",Madison,United States,8
David J. DeWitt,University of Wisconsin - Madison,Madison,United States,6
David J. DeWitt,"University of Wisconsin - Madison, Madison, WI",Madison,United States,7
David J. DeWitt,"University of Wisconsin, Madison, WI",Madison,United States,4
David Koop,"University of Utah, Salt Lake City, UT, USA",Salt Lake City,United States,5
David M. Choy,"IBM Silicon Valley Laboratory, San Jose, California",San Jose,United States,1
David Maier,"Portland State University, Portand, OR",Portland,United States,6
David Maier,"Portland State University, Portland, OR",Portland,United States,5
David McCloskey,"University of Illinois Urbana-Champaign, Urbana, IL, USA",Champaign,United States,14
David Menestrina,"Stanford University, Stanford, CA, USA",Stanford,United States,5
David R. Kaeli,Northeastern University,Boston,United States,6
David R. Karger,"MIT CSAIL, Cambridge, MA, USA",Cambridge,United States,11
David R. Karger,"MIT Computer Science and Artificial Intelligence Laboratory (CSAIL), Cambridge, MA",Cambridge,United States,2
David R. O'Hallaron,"Carnegie Mellon University, Pittsburgh, PA",Pittsburgh,United States,6
David Sun,"Cornell University, Ithaca, NY",Ithaca,United States,3
David T. Liu,"BWRC, University of California, Berkeley, CA 94720, USA",Berkeley,United States,3
David W. Cheung,"The University of Hong Kong, Hong Kong, Hong Kong",Pok Fu Lam,Hong Kong,10
David W. Cheung,"University of Hong Kong, Hong Kong, Hong Kong",Pok Fu Lam,Hong Kong,3
David Wai-Lok Cheung,"The University of Hong Kong, Hong Kong",Pok Fu Lam,Hong Kong,4
David Wai-Lok Cheung,"The University of Hong Kong, Hong Kong, Hong Kong",Pok Fu Lam,Hong Kong,7
David Walker,Princeton University,Princeton,United States,7
David Walker,"Princeton University, Princeton, NJ, USA",Princeton,United States,3
David William Hillis,"University of Waterloo, Waterloo, ON, Canada",Waterloo,Canada,3
Davide Martinenghi,"Politecnico di Milano, Milano, Italy",Milan,Italy,4
Davood Rafiei,"University of Alberta, Edmonton, Alberta, Canada",Edmonton,Canada,2
Dawit Yimam Seid,"International Institute of Information Technology, Hyderabad",Hyderabad,India,6
Dayou Zhou,"University of California, San Diego",San Diego,United States,9
Dayou Zhou,"University of California, San Diego, La Jolla, CA, USA",San Diego,United States,3
Dean Jacobs,"Department of Statistics, University of Munich, Ludwigstraíe 33, D-80539 München, Germany",Munich,Germany,9
Dean Jacobs,"The Landmark @ One Market St, San Francisco, CA",San Francisco,United States,3
Debabrata Dash,"Carnegie Mellon University, Pittsburgh, USA and École Polytechnique Fedéralé de Lausanne, Lausanne, Switzerland",Pittsburgh,United States,5
Debojyoti Dutta,"Cisco Systems Inc., San Jose, CA, USA",San Jose,United States,4
Debra E. VanderMeer,"Chutney Technologies, Inc., Atlanta, GA",Atlanta,United States,5
Debra E. VanderMeer,"Georgia Institute of Technology, Atlanta, GA",Atlanta,United States,6
Deepak Agarwal,"Yahoo! Research, Santa Clara, CA, USA",Santa Clara,United States,5
Deepak Agarwal,"Yahoo! Research, Sunnyvale, CA, USA",Sunnyvale,United States,2
Dengfeng Gao,University of Arizona,Tucson,United States,8
Denilson Barbosa,"University of Calgary, Calgary, AB, Canada",Calgary,Canada,4
Denilson Barbosa,University of Toronto,Toronto,Canada,4
Denis Golovnya,"Worcester Polytechnic Institute, Worcester, MA, USA",Worcester,United States,6
Denis Rinfret,"College of Computer and Information Science, Northeastern University 360 Huntington Ave, WVH202, Boston, MA 02115, USA",Boston,United States,3
Denise Draper,"NAS Division, NASA Ames Research Center, Moffett Field, CA, USA",Mountain View,United States,8
Denise Draper,"Nimble Technology, Inc., 1938 Fairview Avenue East, Seattle, WA",Seattle,United States,3
Dennis Shasha,"INRIA Rocquencourt, Le Chesnay, France and New York University, New York, USA",New York,United States,5
Dennis Shasha,New York University,New York,United States,4
Dennis Shasha,"New York University, New York, NY",New York,United States,8
Dennis Shasha,"Sy Syms School of Business, Yeshiva University, 500 West 185th Street, New York, NY 10033, USA",New York,United States,11
Devesh Parekh,"BWRC, University of California, Berkeley, CA 94720, USA",Berkeley,United States,3
Dhruba Borthakur,"Palo Alto Research Center, Palo Alto, CA",Palo Alto,United States,20
Di Yang,"Worcester Polytechnic Institute, Worcester, MA",Worcester,United States,7
Di Yang,"Worcester Polytechnic Institute, Worcester, MA, USA",Worcester,United States,5
Diana Zhou,"University of Wisconsin, Madison, WI",Madison,United States,6
Dick Hung,"Department of Computer Science, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, Hong Kong",Kowloon Tong,Hong Kong,5
Dieter Gawlick,"Arizona State University at Polytechnic Campus, I3DEA, 878609, 7001 E. Williams Field Rd. Bldg. 140, 85212, Mesa, AZ, USA",Mesa,United States,3
Dieter Gawlick,"Department of Statistics, Stanford University, Stanford, CA, United States",Stanford,United States,3
Dieter Gawlick,"Oracle Corporation, CA, USA",Pasadena,United States,2
Dieter Gawlick,"Oracle USA, Redwood City, CA, USA",Redwood City,United States,2
Dik Lun Lee,"Hong Kong University of Science and Technology, China",Clear Water Bay,Hong Kong,3
Dik Lun Lee,"Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong",Clear Water Bay,Hong Kong,5
Dilys Thomas,Stanford University,Stanford,United States,3
Dimitrios Gunopulos,"Department of Computer Science and Engineering, University of California at Riverside, Riverside, CA",Riverside,United States,9
Dimitris Papadias,"Department of Computer Science, Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong",Clear Water Bay,Hong Kong,2
Dimitris Papadias,HKUST,Clear Water Bay,Hong Kong,3
Dimitris Papadias,"HKUST, Clear Water bay, Hong Kong",Tseung Kwan O,Hong Kong,4
Dimitris Papadias,"Hong Kong University of Science and Technology, Clear Water Bay, Hong Kong",Clear Water Bay,Hong Kong,31
Dimitris Papadias,"Hong Kong University of Science and Technology, Hong Kong",Clear Water Bay,Hong Kong,5
Dimitris Papadias,"Hong Kong University of Science and Technology, Hong Kong, Hong Kong",Clear Water Bay,Hong Kong,8
Dimitris Tsirogiannis,"University of Toronto, Toronto, ON, Canada",Toronto,Canada,8
Dina Bitton,Callixa,Repentigny,Canada,8
Dinesh Manocha,UNC Chapel Hill,Chapel Hill,United States,4
Dinesh Manocha,University of North Carolina at Chapel Hill,Chapel Hill,United States,8
Dino Pedreschi,"Università di Pisa, Pisa, Italy",Pisa,Italy,3
Divesh Srivastava,"AT&T Labs - Research, Florham Park, NJ, USA",Florham Park,United States,15
Divesh Srivastava,"AT&T Labs Inc. - Research, Florham Park, NJ, USA",Florham Park,United States,4
Divesh Srivastava,"AT&T Labs Research, Florham Park, NJ, USA",Florham Park,United States,4
Divesh Srivastava,"AT&T Labs, Florham Park, NJ, USA",Florham Park,United States,8
Divesh Srivastava,"AT&T Labs-Research, Florham Park, NJ",Florham Park,United States,5
Divesh Srivastava,"AT&T Labs-Research, Florham Park, NJ, USA",Florham Park,United States,78
Divesh Srivastava,"ATT Labs - Research, Florham Park, NJ",Florham Park,United States,2
Divyakant Agrawal,"C&C Research Laboratories, NEC, Inc., 110 Rio Robles, San Jose, CA",San Jose,United States,5
Divyakant Agrawal,"NEC Laboratories America, Cupertino, CA, USA",Cupertino,United States,6
Divyakant Agrawal,"UC Santa Barbara, Santa Barbara, CA, USA",Santa Barbara,United States,4
Divyakant Agrawal,"Univerisity of California, Santa Barbara, CA",Santa Barbara,United States,4
Divyakant Agrawal,"University of California at Santa Barbara, Santa Barbara, USA",Santa Barbara,United States,4
Divyakant Agrawal,"University of California, Santa Barbara",Isla Vista,United States,3
Divyakant Agrawal,"University of California, Santa Barbara, CA",Santa Barbara,United States,3
Divyakant Agrawal,"University of California, Santa Barbara, CA 93106, USA. E-mail: {vigna,fredrik,balzarot,wkr}@cs.ucsb.edu",Santa Barbara,United States,15
Divyakant Agrawal,"University of California, Santa Barbara, Santa Barbara, USA",Santa Barbara,United States,5
Dmitri Asonov,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,3
Dmitri V. Kalashnikov,"Department of Informatics, University of California, Irvine, Irvine CA 92697, USA",Irvine,United States,12
Dmitri V. Kalashnikov,Purdue University,West Lafayette,United States,3
Dmitri V. Kalashnikov,"University of California, Irvine, Irvine, CA, USA",Irvine,United States,3
Dmitry Lychagin,"BEA Systems, Inc., San Jose, CA",San Jose,United States,4
Dmitry Lychagin,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,8
Dmytro Molkov,"Palo Alto Research Center, Palo Alto, CA",Palo Alto,United States,12
Domenico Lembo,"Università ""La Sapienza"", Roma, Italy",Rome,Italy,16
Donald Carney,Brown University,Providence,United States,16
Donald D. Chamberlin,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,6
Donald D. Chamberlin,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,1
Donald Kossmann,"Department of Statistics, University of Munich, Ludwigstraíe 33, D-80539 München, Germany",Munich,Germany,4
Dong Xin,"Google Inc., Mountain View, CA, USA",Mountain View,United States,7
Dong Xin,"Microsoft Research, Redmond, WA, USA",Redmond,United States,13
Dong Xin,UIUC,Urbana,United States,4
Dong Xin,"University of Illinois at Urbana-Champaign, Urbana, IL",Champaign,United States,3
Donghui Zhang,"Microsoft Jim Gray Systems Lab, Madison, WI, USA",Madison,United States,6
Donghui Zhang,Northeastern University,Boston,United States,2
Donghui Zhang,"Northeastern University, Boston, MA",Boston,United States,3
Dongmei Ren,"North Dakota State University, Fargo",Fargo,United States,9
Donovan A. Schneider,"Siebel Systems, San Mateo CA",San Mateo,United States,2
Doug Burdick,"The MITRE Corporation, McLean, VA, USA",McLean,United States,17
Douglas Stott Parker Jr.,"UCLA, Los Angeles, CA",Los Angeles,United States,4
Eamonn J. Keogh,"Department of Information and Computer Science, University of California, Irvine, California",Irvine,United States,4
Ebru Ersan,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,13
Ed H. Chi,"Department of Statistics, Stanford University, Stanford, CA, United States",Stanford,United States,1
Edison L. Ting,"IBM Silicon Valley Lab, San Jose, CA, USA",San Jose,United States,15
Edison Ting,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,4
Edith Cohen,"AT & T Labs-Research, Florham Park, NJ",Florham Park,United States,2
Eduardo F. Galvez,Brandeis University,Waltham,United States,16
Edward Chan,"Department of Computer Science, City University of Hong Kong, 83 Tat Chee Avenue, Kowloon, Hong Kong",Kowloon Tong,Hong Kong,5
Edward Hung,"University of Maryland, College Park, MD",College Park,United States,3
Edward Mazur,"University of Massachusetts Amherst, Amherst, MA, USA",Amherst,United States,5
Edward Y. Chang,"University of California, Santa Barbara, CA",Santa Barbara,United States,3
Edward Y. Chang,"University of California, Santa Barbara, CA 93106, USA. E-mail: {vigna,fredrik,balzarot,wkr}@cs.ucsb.edu",Santa Barbara,United States,3
Eileen Tien Lin,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,9
Eirinaios Michelakis,"University of California at Berkeley, Berkeley, CA, USA",Berkeley,United States,4
El Kindi Rezig,"Purdue University, West Lafayette, IN, USA",West Lafayette,United States,5
Elena Ferrari,"DSI-Università di Milano, Via Comelico, 39/41, 20135 Milano, Italy",Milan,Italy,3
Elham Fazli,University of Toronto,Toronto,Canada,3
Eli Upfal,"Brown University, Providence, RI, USA",Providence,United States,4
Elio Damaggio,"University of California, San Diego, La Jolla, CA, USA",San Diego,United States,3
Elisa Bertino,"DSI-Università di Milano, Via Comelico, 39/41, 20135 Milano, Italy",Milan,Italy,3
Elisa Bertino,"Purdue University, West Lafayette, IN",West Lafayette,United States,4
Elisa Bertino,"Purdue University, West Lafayette, IN, USA",West Lafayette,United States,4
Elizabeth J. O'Neil,"College of Computer and Information Science, Northeastern University 360 Huntington Ave, WVH202, Boston, MA 02115, USA",Boston,United States,3
Elizabeth J. O'Neil,University of Massachusetts Boston,Boston,United States,6
Elizabeth J. O'Neil,"University of Massachusetts Boston, Boston, MA, USA",Boston,United States,1
Elke A. Rundensteiner,WPI,Worcester,United States,3
Elke A. Rundensteiner,"Worcester Polytechnic Institute, Worcester, MA",Worcester,United States,46
Elke A. Rundensteiner,"Worcester Polytechnic Institute, Worcester, MA, USA",Worcester,United States,23
Elke Achtert,"University of Munich, Munich, Germany",Munich,Germany,6
Elton Domnori,"Dipartimento di Ingegneria dell'Informazione, Università di Modena e Reggio Emilia, Via Vignolese, Modena, Italy",Modena,Italy,5
Emad Soroush,"Department of Electrical Engineering, University of Washington, Seattle, WA",Seattle,United States,3
Emanuele Santos,University of Utah,Salt Lake City,United States,6
Emiran Curtmola,"University of California - San Diego, San Diego, CA, USA",La Jolla,United States,4
Emiran Curtmola,"University of California, San Diego",San Diego,United States,7
Erhard Rahm,"University of Leipzig, Germany",Leipzig,Germany,7
Erhard Rahm,"University of Leipzig, Leipzig, Germany",Leipzig,Germany,4
Eric A. Brewer,"BWRC, University of California, Berkeley, CA 94720, USA",Berkeley,United States,3
Eric Bloedorn,MITRE Corporation,San Diego,United States,3
Eric Bouillet,"IBM TJ Watson Research Center, Hawthorne, NY, USA",Hawthorne,United States,8
Eric Chu,"University of Wisconsin, Madison",Madison,United States,3
Eric Chu,"University of Wisconsin-Madison, Madison, WI",Madison,United States,3
Eric Chu,"University of Wisconsin-Madison, Madison, WI, USA",Madison,United States,5
Eric Lo,"The Hong Kong Polytechnic University, Hong Kong, Hong Kong",Hung Hom,Hong Kong,10
Eric N. Hanson,"Microsoft, Redmond, WA, USA",Redmond,United States,8
Eric Sedlar,"Arizona State University at Polytechnic Campus, I3DEA, 878609, 7001 E. Williams Field Rd. Bldg. 140, 85212, Mesa, AZ, USA",Mesa,United States,1
Eric Sedlar,"Department of Computer Engineering, Santa Clara University, Santa Clara, CA",Santa Clara,United States,9
Eric Sedlar,Oracle Corporation,Mesa,United States,11
Erich Marth,"Management Consult Dr. Eisele and Dr. Noll GmbH D-68165 Mannheim, Germany",Mannheim,Germany,3
Erik Buchmann,"Karlsruhe Institute of Technology, Karlsruhe, Germany",Karlsruhe,Germany,3
Erik Meijer,Microsoft,Grays,United Kingdom,3
Erik Paulson,"University of Wisconsin, Madison, WI, USA",Madison,United States,7
Erik Paulson,"University of Wisconsin-Madison, Madison, WI, USA",Madison,United States,4
Erik Vee,"Yahoo! Research, Santa Clara, CA, USA",Santa Clara,United States,11
Erik Vee,"Yahoo! Research, Sunnyvale, CA, USA",Sunnyvale,United States,7
Eser Kandogan,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,5
Eugene Agichtein,"Computer Science Department, Columbia University",Columbia,United States,5
Eugene Agichtein,Microsoft Research,Mountain View,United States,4
Eugene Agichtein,"Sy Syms School of Business, Yeshiva University, 500 West 185th Street, New York, NY 10033, USA",New York,United States,2
Eugene Inseok Chong,"Lockheed Sanders, Nashua, NH",Nashua,United States,6
Eugene J. Shekita,"IBM Almaden Research Center, San Jose, CA, USA",San Jose,United States,6
Eugene J. Shekita,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,11
Eugene Shih,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA",Cambridge,United States,10
Eugene Wu 0002,"MIT CSAIL, Cambridge, MA, USA",Cambridge,United States,5
Eugene Wu 0002,UC Berkeley,Berkeley,United States,3
Evan P. C. Jones,"MIT, Cambridge, MA, USA",Cambridge,United States,4
Evan P. C. Jones,"Massachusettes Institute of Technology, Cambridge, MA, USA",Cambridge,United States,3
Evan Welbourne,"University of Washington, Seattle, WA, USA",Seattle,United States,10
Evimaria Terzi,"Boston University, Boston, MA, USA",Boston,United States,5
Evimaria Terzi,"IBM Almaden, San Jose, CA, USA",San Jose,United States,2
Fabian M. Suchanek,"Max-Planck Institute for Informatics, Saarbruecken, Germany",Saarbrücken,Germany,6
Fabian M. Suchanek,"Microsoft Research, Mountain View, CA, USA",Mountain View,United States,6
Fabio Casati,"Hewlett-Packard Laboratories, 1501 Page Mill Road, 1U-4 Palo Alto, CA",Palo Alto,United States,2
Fabio Fumarola,"Universita, Bari, Italy",Bari,Italy,14
Fan Deng,"University of Alberta, Edmonton, Alberta, Canada",Edmonton,Canada,2
Fan Yang 0002,"Cornell University, Ithaca, NY",Ithaca,United States,5
Fan Yang 0002,"Cornell University, Ithaca, New York",Ithaca,United States,13
Fang Liu,University of Illinois at Chicago,Chicago,United States,4
Fang Wei,"Department of Computer Science, Autonomous Intelligent Systems, University of Freiburg, Freiburg, Germany 79110",Freiburg,Germany,1
Fatma Özcan,"IBM Almaden Research Center, San Jose CA",San Jose,United States,14
Fatma Özcan,"IBM Almaden Research Center, San Jose, CA",San Jose,United States,6
Fatma Özcan,"IBM, San Jose, CA, USA",San Jose,United States,6
Fatma Özcan,"NetXen, Inc., Santa Clara, CA, USA",San Jose,United States,8
Fei Chen 0002,"University of Wisconsin-Madison, Madison, WI, USA",Madison,United States,5
Fei Chiang,"University of Toronto, Toronto, ON, Canada",Toronto,Canada,7
Fei Pan,"North Dakota State University, Fargo",Fargo,United States,9
Fei Sha,"University of Southern California, Los Angeles, CA, USA",Los Angeles,United States,3
Fei Xu,"IEDAL Lab, University of Florida, Gainesville, FL 32611, USA",Gainesville,United States,5
Fei Xu,"University of Florida, Gainesville, FL, USA",Gainesville,United States,13
Feifei Li,Boston University,Boston,United States,4
Feifei Li,"Florida State University, Tallahassee, FL, USA",Tallahassee,United States,17
Feifei Li,"Florida State University, Tallahassee, USA",Tallahassee,United States,3
Felipe Carino,"Department of Electrical Engineering, University of California Los Angeles, Los Angeles, CA",Los Angeles,United States,8
Felipe Cariño,"Univ. of Maryland, College Park, MD",College Park,United States,4
Felix Beier,"Neuroinformatics and Cognitive Robotics Lab, Ilmenau University of Technology, Ilmenau, Germany and MetraLabs GmbH - Neue Technologien und Systeme, Ilmenau, Germany",Ilmenau,Germany,3
Felix I. Wyss,"Interactive Intelligence, Inc., Indianapolis, IN",Indianapolis,United States,2
Felix Naumann,"Deutsche Telekom Laboratories, Berlin, Germany",Berlin,Germany,2
Fen-Ling Ling,"IBM Silicon Valley Lab, San Jose, CA",San Jose,United States,7
Feng Pan,"Department of Electrical Engineering, University of California Los Angeles, Los Angeles, CA",Los Angeles,United States,5
Feng Pan,"University of North Carolina at Chapel Hill, Chapel Hill, NC, USA",Chapel Hill,United States,3
Feng Peng,"University of Maryland, College Park, College Park, Maryland",College Park,United States,2
Feng Shao,Cornell University,Ithaca,United States,4
Feng Shao,"Cornell University, Ithaca, New York",Ithaca,United States,7
Fenglin Liao,"University of California Santa Barbara, Santa Barbara, CA, USA",Santa Barbara,United States,5
Fenglin Liao,"University of California, Santa Barbara, Santa Barbara, CA, USA",Santa Barbara,United States,6
Fernanda B. Viégas,"IBM, T. J. Watson Research Center, Cambridge, MA, USA",Cambridge,United States,2
Fernando Pereira,"Google, Inc., Mountain View, CA, USA",Mountain View,United States,3
Filip Kaliszan,"Stanford University, Stanford, CA, USA",Stanford,United States,6
Flip Korn,"AT&T Labs, Florham Park, NJ, USA",Florham Park,United States,6
Flip Korn,"AT&T Labs-Research, Florham Park, NJ, USA",Florham Park,United States,22
Florian Krebs,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",Munich,Germany,4
Florian M. Waas,"Greenplum Inc., San Mateo, CA, USA",San Mateo,United States,2
Florian Waas,"Microsoft Research, One Microsoft Way, Redmond, WA 98052, USA",Redmond,United States,3
Florin Rusu,"IEDAL Lab, University of Florida, Gainesville, FL 32611, USA",Gainesville,United States,4
Florin Rusu,"University of Florida, Gainesville, FL, USA",Gainesville,United States,7
Foteini Alvanaki,"Saarland University, Saarbruecken, Germany",Saarbrücken,Germany,4
Francesco Corcoglioniti,"Politecnico di Milano, Milano, Italy",Milan,Italy,7
Francesco Guerra,"Dipartimento di Ingegneria dell'Informazione, Università di Modena e Reggio Emilia, Via Vignolese, Modena, Italy",Modena,Italy,5
Francesco Gullo,"University of Calabria, Rende (CS), Italy",Rende,Italy,3
Francis Bowen,"Indiana University - Purdue University Indianapolis, Indianapolis, IN, USA",Indianapolis,United States,6
Francis Liu,"Yahoo!, Sunnyvale, CA, USA",Sunnyvale,United States,13
Franco Turini,"Università di Pisa, Pisa, Italy",Pisa,Italy,3
Frank McSherry,"Microsoft Research, Mountain View, CA, USA",Mountain View,United States,1
Frank Wm. Tompa,"Department of Statistics and Actuarial Science, University of Waterloo, Waterloo, Ont., Canada N2L 3G1",Waterloo,Canada,2
Franz Färber,"Communications Laboratory, Faculty of Electrical Engineering and Information Technology, Dresden University of Technology, Dresden, Germany",Dresden,Germany,3
Franz Graf,"Ludwig-Maximilians-Universität München, München, Germany",Munich,Germany,4
François Llirbat,"Sy Syms School of Business, Yeshiva University, 500 West 185th Street, New York, NY 10033, USA",New York,United States,6
Françoise Fabret,"Sy Syms School of Business, Yeshiva University, 500 West 185th Street, New York, NY 10033, USA",New York,United States,6
Fred Douglis,IBM T.J. Watson Research Center,Ossining,United States,4
Frederick Reiss,"IBM Almaden Research Center, San Jose , CA, USA",San Jose,United States,4
Frederick Reiss,"IBM Research - Almaden, San Jose, CA, USA",San Jose,United States,4
Frederick Reiss,"IBM Research - Almaden, San Jose, USA",San Jose,United States,13
Frederick Reiss,"University of California, Berkeley, CA",Berkeley,United States,12
Gabriel Bender,"Cornell University, Ithaca, NY, USA",Ithaca,United States,12
Gabriel Bender,"Cornell University, Ithaca, USA",Ithaca,United States,4
Gaetano Borriello,"University of Washington, Seattle, WA, USA",Seattle,United States,10
Gail Mitchell,"Worcester Polytechnic Institute, Worcester, MA",Worcester,United States,7
